NAME,1,2,3,4,5,6,7,8,9
Art 20S,SM,N,N,N,SM,N,SM,N,N
Band - Advanced 20S,N,N,N,N,N,N,MSt,N,N
Band - Fundamentals 20S,N,N,N,N,MSt,N,N,N,N
Choral 20S,N,N,N,N,N,N,N,MSt,N
Computer Science 20S,N,EH,N,N,N,EH,N,N,N
Debate 21G,MS,N,N,N,N,N,N,N,N
Digital Media I,N,N,EH,N,DE,N,N,N,N
Dramatic Arts 20S,JB,N,N,N,N,N,N,N,N
EAL Tutoring 20E/30E,N,N,N,N,N,N,N,N,TBD
English 20E,N,TBD,N,N,N,N,N,N,N
English 20F,N,RGa,TC,N,TBD,N,TBD,N,N
Film Studies 21G,N,N,N,N,N,N,N,MS,N
Français 20F,N,N,N,N,DR,N,N,N,N
French 20F,N,N,N,N,N,N,DR,N,N
Geography 20F,N,N,JJ,JJ,N,N,MG,N,N
Intro to AI 21G,N,N,N,N,N,CC,N,N,N
Jazz Ensemble 20S,N,N,N,MSt,N,N,N,N,N
Math - Applied/Pre-Calculus 20S,N,KL,KK,SW,N,N,KL,N,N
Physical Education 20F,EM,EM,EM,N,N,EM,EM,N,N
Physical Education 20F - FF,N,N,N,MC,N,N,N,N,N
Science 20F,N,KT,N,KT,N,N,SK,SK,N
Spanish 20F,N,N,N,N,N,TBD,N,N,N
