NAME,1,2,3,4,5,6,7,8,9
Academic Writing 42U,N,N,N,N,N,N,Y,N,N
Business 42U,N,N,N,N,Y,N,N,N,N
Calculus 42U,N,N,Y,N,N,N,N,N,N
Chemistry 42U,Y,N,N,N,N,N,N,N,N
Choral Ensemble 42U,N,N,N,N,N,N,N,N,Y
Conflict Res. 42U,N,N,N,Y,N,N,N,N,N
Economics 42U,N,Y,N,N,N,N,N,N,N
English 42U,N,Y,N,N,N,N,N,N,N
Geography 42U,Y,N,N,N,N,N,N,N,N
Intro to Computers 42U,N,N,N,N,N,N,N,N,Y
Intro to Uni 42U,N,N,N,N,N,N,N,Y,N
Music Appreciation 42U,N,N,N,N,N,N,N,N,Y
Philosophy 42U,N,N,N,Y,N,N,N,N,N
Programming 42U,N,N,N,Y,N,N,N,N,N
Religion 42U,N,N,Y,N,N,N,N,N,N
