NAME,1,2,3,4,5,6,7,8,9
Art 40S,N,N,Y,N,N,Y,N,N,N
Band - Instrumental 40S,N,N,N,N,N,N,Y,N,N
Biology 40S,N,Y,N,Y,N,N,Y,N,N
Calculus 45S/Advanced Math 45S,N,N,N,N,N,Y,N,N,N
Chemistry 40S,Y,Y,Y,Y,Y,Y,Y,Y,Y
Choral 40S,N,N,N,N,N,N,N,Y,N
Cinema in Modern History 40S,N,N,N,N,N,N,N,Y,N
Computer Science 40S,Y,N,N,N,N,N,Y,N,N
Digital/Photograph Art 40S,N,N,N,N,N,N,N,Y,N
Dramatic Arts 40S,N,N,N,Y,N,N,N,N,N
ELA - Comprehensive Focus 40E,N,N,Y,N,N,N,N,N,N
ELA - Comprehensive Focus 40S,N,N,Y,N,N,N,N,N,N
ELA - Literary Focus 40S,N,Y,N,Y,N,N,Y,Y,N
ELA - Transactional Focus 40E,N,Y,N,N,N,N,N,N,N
ELA - Transactional Focus 40S,N,Y,N,N,N,N,N,N,N
Economics 40S,N,N,N,N,Y,N,Y,N,N
Family Studies 40S,N,N,Y,N,N,N,N,N,N
Francais 40S,N,N,N,Y,N,N,N,N,N
French 40S,N,N,Y,N,N,N,N,N,N
Global Issues 40S,N,Y,N,N,N,N,N,N,N
Jazz Ensemble 40S,N,N,N,Y,N,N,N,N,N
Law 40S,N,N,N,N,Y,N,N,N,N
Life Works 40S,N,N,N,N,Y,N,N,N,N
Math - Applied 40S,N,N,Y,Y,N,N,N,N,N
Math - Essentials 40S,N,N,N,N,N,N,N,Y,N
Math - Pre-Calculus 40S,Y,N,Y,Y,N,N,Y,N,N
Physical Education 40F - FF,N,N,N,N,N,N,N,Y,N
Physics 40S,Y,Y,Y,Y,Y,Y,Y,Y,Y
Psychology 40S,Y,N,N,N,N,Y,N,N,N
Spanish 40S,N,N,N,N,N,N,Y,N,N
