NAME,1,2,3,4,5,6,7,8,9
English 20F,N,RGa,RGa/TC,N,TBD,N,TBD,N,N
Geography 20F,N,N,JJ,JJ,N,N,MG,N,N
Math - Applied/Pre-Calculus 20S,N,KL,KK,SW,N,N,KL,N,N
Physical Education 20F,EM,EM,EM,N,N,EM,EM,N,N
Science 20F,N,KT,N,KT,N,N,SK,SK,N
